Sales_Year,Sales_Month,Category,Number_Of_Transactions,Average_Transaction_Size,Total_Revenue
2022,1,"Apparel and Merchandise",79,34.615570,2734.63
2022,1,"Art Supplies",72,32.352083,2329.35
2022,1,"Books (General)",40,32.373750,1294.95
2022,1,"Stationery and Supplies",100,10.752800,1075.28
2022,1,"Technology & Accessories",110,447.263545,49198.99
2022,1,Textbooks,84,166.241786,13964.31
2022,2,"Apparel and Merchandise",84,32.542024,2733.53
2022,2,"Art Supplies",73,29.466575,2151.06
2022,2,"Books (General)",35,30.950857,1083.28
2022,2,"Stationery and Supplies",106,9.766792,1035.28
2022,2,"Technology & Accessories",98,393.354796,38548.77
2022,2,Textbooks,101,233.677327,23601.41
2022,3,"Apparel and Merchandise",89,38.048764,3386.34
2022,3,"Art Supplies",70,32.509857,2275.69
2022,3,"Books (General)",39,26.461538,1032.00
2022,3,"Stationery and Supplies",91,10.555275,960.53
2022,3,"Technology & Accessories",102,459.727353,46892.19
2022,3,Textbooks,85,257.187765,21860.96
2022,4,"Apparel and Merchandise",84,36.720357,3084.51
2022,4,"Art Supplies",83,30.830000,2558.89
2022,4,"Books (General)",42,29.056667,1220.38
2022,4,"Stationery and Supplies",97,10.116392,981.29
2022,4,"Technology & Accessories",107,523.413645,56005.26
2022,4,Textbooks,116,237.885603,27594.73
2022,5,"Apparel and Merchandise",95,35.521579,3374.55
2022,5,"Art Supplies",76,28.780263,2187.30
2022,5,"Books (General)",32,23.744688,759.83
2022,5,"Stationery and Supplies",102,10.539902,1075.07
2022,5,"Technology & Accessories",96,567.923750,54520.68
2022,5,Textbooks,133,300.968045,40028.75
2022,6,"Apparel and Merchandise",86,35.985349,3094.74
2022,6,"Art Supplies",96,26.081042,2503.78
2022,6,"Books (General)",37,26.153514,967.68
2022,6,"Stationery and Supplies",95,10.422526,990.14
2022,6,"Technology & Accessories",101,454.034257,45857.46
2022,6,Textbooks,113,244.573894,27636.85
2022,7,"Apparel and Merchandise",78,29.886667,2331.16
2022,7,"Art Supplies",57,29.175263,1662.99
2022,7,"Books (General)",36,28.890278,1040.05
2022,7,"Stationery and Supplies",107,9.470280,1013.32
2022,7,"Technology & Accessories",101,473.775545,47851.33
2022,7,Textbooks,97,187.604330,18197.62
2022,8,"Apparel and Merchandise",86,30.612674,2632.69
2022,8,"Art Supplies",67,31.877463,2135.79
2022,8,"Books (General)",38,29.503158,1121.12
2022,8,"Stationery and Supplies",111,9.672342,1073.63
2022,8,"Technology & Accessories",96,516.618229,49595.35
2022,8,Textbooks,98,177.003367,17346.33
2022,9,"Apparel and Merchandise",104,34.559327,3594.17
2022,9,"Art Supplies",77,28.030909,2158.38
2022,9,"Books (General)",39,30.467179,1188.22
2022,9,"Stationery and Supplies",95,10.496632,997.18
2022,9,"Technology & Accessories",119,405.920084,48304.49
2022,9,Textbooks,119,181.737143,21626.72
2022,10,"Apparel and Merchandise",93,30.893763,2873.12
2022,10,"Art Supplies",71,29.522535,2096.10
2022,10,"Books (General)",41,29.859512,1224.24
2022,10,"Stationery and Supplies",116,10.434397,1210.39
2022,10,"Technology & Accessories",113,525.903717,59427.12
2022,10,Textbooks,94,178.508617,16779.81
2022,11,"Apparel and Merchandise",89,31.165169,2773.70
2022,11,"Art Supplies",73,32.007260,2336.53
2022,11,"Books (General)",35,29.594857,1035.82
2022,11,"Stationery and Supplies",100,10.027100,1002.71
2022,11,"Technology & Accessories",109,398.557339,43442.75
2022,11,Textbooks,110,181.230727,19935.38
2022,12,"Apparel and Merchandise",85,34.604118,2941.35
2022,12,"Art Supplies",82,29.289512,2401.74
2022,12,"Books (General)",45,28.160444,1267.22
2022,12,"Stationery and Supplies",100,9.907900,990.79
2022,12,"Technology & Accessories",103,546.706019,56310.72
2022,12,Textbooks,110,186.844818,20552.93
2023,1,"Apparel and Merchandise",115,33.422783,3843.62
2023,1,"Art Supplies",108,34.361667,3711.06
2023,1,"Books (General)",52,26.503654,1378.19
2023,1,"Stationery and Supplies",150,10.508200,1576.23
2023,1,"Technology & Accessories",185,493.621243,91319.93
2023,1,Textbooks,81,168.032222,13610.61
2023,2,"Apparel and Merchandise",134,31.245299,4186.87
2023,2,"Art Supplies",111,28.020631,3110.29
2023,2,"Books (General)",49,34.116735,1671.72
2023,2,"Stationery and Supplies",143,9.502378,1358.84
2023,2,"Technology & Accessories",151,446.624106,67440.24
2023,2,Textbooks,86,163.343721,14047.56
2023,3,"Apparel and Merchandise",159,33.597987,5342.08
2023,3,"Art Supplies",112,30.810089,3450.73
2023,3,"Books (General)",61,27.105738,1653.45
2023,3,"Stationery and Supplies",122,10.460164,1276.14
2023,3,"Technology & Accessories",160,469.520813,75123.33
2023,3,Textbooks,86,170.740581,14683.69
2023,4,"Apparel and Merchandise",156,33.141538,5170.08
2023,4,"Art Supplies",118,31.585424,3727.08
2023,4,"Books (General)",52,26.368269,1371.15
2023,4,"Stationery and Supplies",167,10.036766,1676.14
2023,4,"Technology & Accessories",148,431.435676,63852.48
2023,4,Textbooks,107,171.012056,18298.29
2023,5,"Apparel and Merchandise",140,33.425071,4679.51
2023,5,"Art Supplies",103,34.337476,3536.76
2023,5,"Books (General)",64,29.940313,1916.18
2023,5,"Stationery and Supplies",151,10.385364,1568.19
2023,5,"Technology & Accessories",143,465.073776,66505.55
2023,5,Textbooks,85,174.184000,14805.64
2023,6,"Apparel and Merchandise",146,32.656096,4767.79
2023,6,"Art Supplies",98,31.263571,3063.83
2023,6,"Books (General)",61,28.509344,1739.07
2023,6,"Stationery and Supplies",160,10.105000,1616.80
2023,6,"Technology & Accessories",135,420.684222,56792.37
2023,6,Textbooks,116,174.345172,20224.04
2023,7,"Apparel and Merchandise",114,30.197544,3442.52
2023,7,"Art Supplies",132,32.494242,4289.24
2023,7,"Books (General)",51,30.914510,1576.64
2023,7,"Stationery and Supplies",132,9.594545,1266.48
2023,7,"Technology & Accessories",156,436.470449,68089.39
2023,7,Textbooks,114,176.830789,20158.71
2023,8,"Apparel and Merchandise",140,31.313143,4383.84
